symbol,entry_time,exit_time,entry,exit,direction,pnl
1000PEPEUSDT,2025-05-22 04:03:03.442075,2025-05-22 04:09:16.324007,0.0131552,0.013044696320000002,long,-0.00012098363852799867
BTCUSDT,2025-05-22 03:56:51.776214,2025-05-22 04:39:10.585574,106851.5,108133.71800000001,long,1196.223912800008
SOLUSDT,2025-05-22 03:56:52.185467,2025-05-22 04:40:42.910167,168.11,170.12732000000003,long,1.8820250720000122
ETHUSDT,2025-05-22 04:00:59.804321,2025-05-22 04:49:21.476508,2476.6,2506.3192,long,27.72603232
1000PEPEUSDT,2025-05-22 05:09:32.808906,2025-05-22 05:39:30.002808,0.013369,0.013256700400000002,long,-0.00012294988015999907
ETHUSDT,2025-05-22 05:49:43.029832,2025-05-22 07:31:49.867234,2495.71,2525.65852,long,27.93997259199992
SOLUSDT,2025-05-22 05:41:01.604415,2025-05-22 07:54:48.026990,170.46,171.891864,short,-1.5688047455999903
BTCUSDT,2025-05-22 05:39:29.673554,2025-05-22 08:14:36.792147,107990.1,109285.98120000001,long,1208.9707675200034
1000PEPEUSDT,2025-05-22 08:10:32.637472,2025-05-22 08:23:43.552614,0.0135045,0.013617937799999999,short,-0.0001242867751199995
ETHUSDT,2025-05-22 08:50:00.022802,2025-05-22 09:24:39.318467,2555.7,2577.1678799999995,short,-23.521027151999697
1000PEPEUSDT,2025-05-22 09:28:15.312619,2025-05-22 09:58:25.199450,0.013772,0.0138876848,short,-0.00012674867391999984
SOLUSDT,2025-05-22 08:59:38.828239,2025-05-22 09:59:57.114803,173.43,174.886812,short,-1.5961387247999852
BTCUSDT,2025-05-22 09:26:42.728728,2025-05-22 11:33:58.753108,109773.8,110695.89992,short,-1010.2877999679934
ETHUSDT,2025-05-22 10:24:46.099252,2025-05-22 12:33:57.573487,2588.59,2610.334156,short,-23.82372566239975
SOLUSDT,2025-05-22 13:08:48.210277,2025-05-22 14:28:30.276528,176.01,177.48848399999997,short,-1.6198833935999803
1000PEPEUSDT,2025-05-22 14:45:22.928255,2025-05-22 14:56:38.661999,0.0139905,0.0138729798,long,-0.00012866559191999864
ETHUSDT,2025-05-22 14:25:24.052889,2025-05-22 14:59:42.060130,2639.7,2608.0236,short,29.57731055999983
1000PEPEUSDT,2025-05-22 16:05:22.283418,2025-05-22 16:14:44.045140,0.0139336,0.014100803200000001,long,0.0001559894387200004
SOLUSDT,2025-05-22 16:05:21.916777,2025-05-22 16:42:25.504549,176.25,178.365,long,1.9731540000000092
ETHUSDT,2025-05-22 16:10:33.735694,2025-05-22 17:16:27.909677,2616.6,2647.9991999999997,long,29.293360319999838
